run_id,model_name,artifact_path,size_bytes,size_mb
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,hidden_spans.safetensors,3713024096,3541.016
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,jbshield_scores.parquet,299417,0.286
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,model_metadata.parquet,11369,0.011
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,prompts.parquet,2469662,2.355
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,token_spans.parquet,149058,0.142
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,behavior_labels.parquet,52948,0.05
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,calibration_artifacts/concept_stats.parquet,5864,0.006
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,calibration_artifacts/concept_vectors.safetensors,205600,0.196
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,calibration_artifacts/thresholds.parquet,4275,0.004
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,generation_outputs.parquet,51861,0.049
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,hidden_last.safetensors,4925440096,4697.266
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,hidden_spans.safetensors,4925440096,4697.266
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,jbshield_scores.parquet,194887,0.186
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,model_metadata.parquet,11289,0.011
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,prompts.parquet,2469323,2.355
jbshield-qwen-phase2-qwen2.5-32b,qwen2.5-32b,token_spans.parquet,146653,0.14
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,behavior_labels.parquet,53287,0.051
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,calibration_artifacts/concept_stats.parquet,5907,0.006
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,calibration_artifacts/concept_vectors.safetensors,205600,0.196
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,calibration_artifacts/thresholds.parquet,4390,0.004
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,generation_outputs.parquet,52200,0.05
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,hidden_last.safetensors,4925440096,4697.266
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,hidden_spans.safetensors,4925440096,4697.266
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,jbshield_scores.parquet,300025,0.286
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,model_metadata.parquet,11417,0.011
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,prompts.parquet,2469662,2.355
jbshield-qwen-phase2-qwen2.5-32b-instruct,qwen2.5-32b-instruct,token_spans.parquet,149058,0.142
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,behavior_labels.parquet,52898,0.05
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,calibration_artifacts/concept_stats.parquet,5839,0.006
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,calibration_artifacts/concept_vectors.safetensors,144152,0.137
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,calibration_artifacts/thresholds.parquet,4244,0.004
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,generation_outputs.parquet,51811,0.049
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,hidden_last.safetensors,1538252896,1466.992
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,hidden_spans.safetensors,1538252896,1466.992
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,jbshield_scores.parquet,185235,0.177
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,model_metadata.parquet,11226,0.011
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,prompts.parquet,2469273,2.355
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,token_spans.parquet,146603,0.14
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,behavior_labels.parquet,53365,0.051
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,calibration_artifacts/concept_stats.parquet,5883,0.006
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,calibration_artifacts/concept_vectors.safetensors,144152,0.137
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,calibration_artifacts/thresholds.parquet,4383,0.004
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,generation_outputs.parquet,52278,0.05
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,hidden_last.safetensors,1538252896,1466.992
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,hidden_spans.safetensors,1538252896,1466.992
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,jbshield_scores.parquet,299169,0.285
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,model_metadata.parquet,11354,0.011
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,prompts.parquet,2469740,2.355
jbshield-qwen-phase2-qwen2.5-7b-instruct,qwen2.5-7b-instruct,token_spans.parquet,149136,0.142
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,behavior_labels.parquet,53072,0.051
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,calibration_artifacts/concept_stats.parquet,5864,0.006
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,calibration_artifacts/concept_vectors.safetensors,164632,0.157
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,calibration_artifacts/thresholds.parquet,4359,0.004
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,generation_outputs.parquet,51985,0.05
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,hidden_last.safetensors,2242969696,2139.063
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,hidden_spans.safetensors,2242969696,2139.063
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,jbshield_scores.parquet,298906,0.285
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,model_metadata.parquet,11191,0.011
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,prompts.parquet,2469447,2.355
jbshield-qwen-phase2-qwen3-8b,qwen3-8b,token_spans.parquet,148831,0.142
